what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602545109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602545131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602547598
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1678602547604
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1678602548646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1678602552042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602553912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602554898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602554928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602556902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602572040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602575726
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1678602583219
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1678602583225
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1678602583395
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1678602583680
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1678602587926
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1678602587927
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1678602587936
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1678602616611
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1678602616715
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1678602622382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602625455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602626565
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1678602633647
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1678602638163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602638510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602638636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602638673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602648222
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1678602648244
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1678602651083
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1678602651508
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1678602651519
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1678602654161
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1678602660961
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1678602661001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602665537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602666959
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1678602667175
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1678602669975
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1678602670449
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1678602674495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602679335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602682261
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602682609
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1678602683082
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1678602683082
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1678602683082
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1678602684091
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1678602684091
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1678602684091
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1678602684091
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1678602684091
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1678602684091
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1678602684091
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1678602684091
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1678602684091
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1678602684105
