Signal Legend:

Key        Signal Name

0        = LED_matrix:matrix_5x5|iClk
1        = LED_matrix:matrix_5x5|iRow[4..0]
2        = LED_matrix:matrix_5x5|iCol[4..0]
3        = LED_matrix:matrix_5x5|iRst_n
4        = LED_matrix:matrix_5x5|LED_status[24..20]
5        = LED_matrix:matrix_5x5|LED_status[19..15]
6        = LED_matrix:matrix_5x5|LED_status[14..10]
7        = LED_matrix:matrix_5x5|LED_status[9..5]
8        = LED_matrix:matrix_5x5|LED_status[4..0]

Data Table:

Signals-> 0 1      2      3 4      5      6      7      8      

sample

-128      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-127      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-126      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-125      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-124      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-123      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-122      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-121      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-120      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-119      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-118      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-117      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-116      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-115      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-114      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-113      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-112      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-111      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-110      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-109      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-108      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-107      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-106      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
-105      1 00000b 11111b 1 00011b 00000b 00000b 00000b 00000b 
